hf_path,source_path,size_bytes,sha256
sam-ai/New folder (4)/dataset/documents/dc/post-44110-46143823dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\post-44110-46143823dc.json,3587,3d8f3cb0d1493451e9ad5302358f595ec5992db2ec82794b74b1fdc3170ad875
sam-ai/New folder (4)/dataset/documents/dc/printtext-2a1e5f26dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-2a1e5f26dc.json,3029,3a301ae1099a1163755aec3701859474e8cfff9fe7009612775902cd0db26326
sam-ai/New folder (4)/dataset/documents/dc/printtext-31d5a5a3dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-31d5a5a3dc.json,5206,16d05e007fd9a25beacb22a30b10ce6d800c95a058f01417fa9f708ab59d559c
sam-ai/New folder (4)/dataset/documents/dc/printtext-466f4609dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-466f4609dc.json,7170,d7dda23f0c212721a5fea3e6e91886373d0a91fae5f8988aa062cbc529ac1940
sam-ai/New folder (4)/dataset/documents/dc/printtext-8fa7b072dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-8fa7b072dc.json,4346,52e8a01c89cb15e75eda6201030ccc394e19c072a85a32fb63fe782918bc68b4
sam-ai/New folder (4)/dataset/documents/dc/printtext-9635ff81dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-9635ff81dc.json,8092,ee0ba37ca79580145d77bc0dd909c724190714474894fabac334cc05ea84347e
sam-ai/New folder (4)/dataset/documents/dc/printtext-97ba0f99dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-97ba0f99dc.json,4014,a564bc024de5fce3b4aa712be2653f65410f46fd4caccced8b3d6e4244b0cf7c
sam-ai/New folder (4)/dataset/documents/dc/printtext-af9fe12bdc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-af9fe12bdc.json,2739,3a78e862a6e350f451cc5a031b38ed968abd3a508931f5f65ca966343df14bd7
sam-ai/New folder (4)/dataset/documents/dc/printtext-cdbaaa46dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-cdbaaa46dc.json,3247,46d12bac473b74b902b6afc1843a9feb0b33f5037cca1dfd78b41f37c611888e
sam-ai/New folder (4)/dataset/documents/dc/printtext-ce234f42dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-ce234f42dc.json,3244,baed35544be043fb787fb371af8e080d66ef3d0bfa3addac415d7f6ae98365d5
sam-ai/New folder (4)/dataset/documents/dc/printtext-d6101c24dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-d6101c24dc.json,1737,d107f39fc4edaac4def187501b33fd03c7fa6438c816ce0dfec2c3562794ae1c
sam-ai/New folder (4)/dataset/documents/dc/printtext-f44259b8dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\printtext-f44259b8dc.json,2626,1e06912f8020f1c597faf581db32cec869064c5a869048d2558f71d49b1c9f3c
sam-ai/New folder (4)/dataset/documents/dc/بخشنامه-راهاندازی-خدمت-ضمانت-الكتر-450f7583dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\بخشنامه-راهاندازی-خدمت-ضمانت-الكتر-450f7583dc.json,4321,87063a31cd09733a805191e11a93ae1d3435deb7112cadf2743c3a96e42ba104
sam-ai/New folder (4)/dataset/documents/dc/رأی-شماره-۶۶۳-هیأت-عمومی-دیوان-عدالت-اد-52ac2840dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\رأی-شماره-۶۶۳-هیأت-عمومی-دیوان-عدالت-اد-52ac2840dc.json,15494,23698c7e27c4afb42f15ed28c68252f9c6a5fcd5abe1e5a50dc066d7a19a2a3b
sam-ai/New folder (4)/dataset/documents/dc/رییس-قوۀ-قضاییه-وضعیت-اجرای-قانون-آیین-4673afb1dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\رییس-قوۀ-قضاییه-وضعیت-اجرای-قانون-آیین-4673afb1dc.json,12357,f239288894f11e8617928346197238f4f5487cd396acec32abba7fcc000daa0d
